Write successWrite successLeft Mouse Down; Time: 147678.887; Location(873.9, 369.6), Pressure: 1.000
Left Mouse Up; Time: 147678.987; Location(873.9, 369.6), Pressure: 0.000
Mouse Moved; Time: 147679.186; Location(873.9, 369.4), Pressure: 0.000
Mouse Moved; Time: 147679.194; Location(872.0, 367.0), Pressure: 0.000
Mouse Moved; Time: 147679.203; Location(869.6, 364.1), Pressure: 0.000
Mouse Moved; Time: 147679.211; Location(865.4, 360.0), Pressure: 0.000
Mouse Moved; Time: 147679.219; Location(860.4, 355.6), Pressure: 0.000
Mouse Moved; Time: 147679.227; Location(850.4, 347.3), Pressure: 0.000
Mouse Moved; Time: 147679.236; Location(825.6, 329.5), Pressure: 0.000
Mouse Moved; Time: 147679.244; Location(805.4, 314.9), Pressure: 0.000
Mouse Moved; Time: 147679.252; Location(782.1, 301.0), Pressure: 0.000
Mouse Moved; Time: 147679.260; Location(757.7, 288.2), Pressure: 0.000
Mouse Moved; Time: 147679.268; Location(744.6, 283.0), Pressure: 0.000
Mouse Moved; Time: 147679.277; Location(722.5, 273.5), Pressure: 0.000
Mouse Moved; Time: 147679.285; Location(696.9, 264.2), Pressure: 0.000
Mouse Moved; Time: 147679.293; Location(672.3, 258.6), Pressure: 0.000
Mouse Moved; Time: 147679.301; Location(649.6, 256.5), Pressure: 0.000
Mouse Moved; Time: 147679.310; Location(631.7, 255.5), Pressure: 0.000
Mouse Moved; Time: 147679.318; Location(616.2, 255.5), Pressure: 0.000
Mouse Moved; Time: 147679.326; Location(602.2, 259.0), Pressure: 0.000
Mouse Moved; Time: 147679.334; Location(590.8, 267.8), Pressure: 0.000
Mouse Moved; Time: 147679.343; Location(582.2, 279.8), Pressure: 0.000
Mouse Moved; Time: 147679.351; Location(568.9, 306.3), Pressure: 0.000
Mouse Moved; Time: 147679.359; Location(564.6, 329.0), Pressure: 0.000
Mouse Moved; Time: 147679.367; Location(564.6, 343.0), Pressure: 0.000
Mouse Moved; Time: 147679.376; Location(564.6, 368.1), Pressure: 0.000
Mouse Moved; Time: 147679.384; Location(564.6, 392.8), Pressure: 0.000
Mouse Moved; Time: 147679.392; Location(568.9, 415.4), Pressure: 0.000
Mouse Moved; Time: 147679.400; Location(573.2, 423.3), Pressure: 0.000
