Time: 310336.544; State:  4; ID:  2; absPos( 8.740, 31.580); absVel(-2.125, -0.625); Ellipse(10.66x 8.14); size(0.762)
Time: 310336.552; State:  4; ID:  2; absPos( 8.710, 31.570); absVel(-3.875, -0.750); Ellipse(10.56x 8.15); size(0.746)
Time: 310336.560; State:  4; ID:  2; absPos( 8.670, 31.550); absVel(-4.375, -2.625); Ellipse(10.56x 8.06); size(0.723)
Time: 310336.568; State:  4; ID:  2; absPos( 8.630, 31.510); absVel(-5.125, -5.125); Ellipse(10.46x 7.99); size(0.688)
Time: 310336.576; State:  4; ID:  2; absPos( 8.590, 31.460); absVel(-4.250, -5.875); Ellipse(10.41x 7.90); size(0.660)
Time: 310336.584; State:  4; ID:  2; absPos( 8.550, 31.400); absVel(-5.875, -7.500); Ellipse(10.29x 7.95); size(0.637)
Time: 310336.592; State:  4; ID:  2; absPos( 8.510, 31.350); absVel(-4.625, -6.625); Ellipse(10.25x 7.97); size(0.617)
Time: 310336.600; State:  4; ID:  2; absPos( 8.480, 31.290); absVel(-3.250, -7.250); Ellipse(10.26x 7.94); size(0.598)
Time: 310336.608; State:  4; ID:  2; absPos( 8.440, 31.230); absVel(-5.875, -7.125); Ellipse( 9.92x 8.03); size(0.566)
Time: 310336.616; State:  4; ID:  2; absPos( 8.410, 31.180); absVel(-3.125, -6.875); Ellipse(10.11x 8.02); size(0.551)
Time: 310336.624; State:  4; ID:  2; absPos( 8.390, 31.120); absVel(-2.000, -6.750); Ellipse(10.20x 7.97); size(0.535)
Time: 310336.632; State:  4; ID:  2; absPos( 8.390, 31.090); absVel(-0.875, -4.625); Ellipse(10.18x 7.95); size(0.543)
Time: 310336.640; State:  4; ID:  2; absPos( 8.390, 31.090); absVel( 0.500,  0.125); Ellipse( 9.94x 8.30); size(0.578)
Time: 310336.648; State:  4; ID:  2; absPos( 8.410, 31.110); absVel( 2.375,  2.375); Ellipse(10.13x 8.10); size(0.613)
Time: 310336.656; State:  4; ID:  2; absPos( 8.470, 31.160); absVel( 6.875,  6.750); Ellipse(10.01x 7.99); size(0.660)
Time: 310336.664; State:  4; ID:  2; absPos( 8.570, 31.240); absVel(13.125, 10.250); Ellipse(10.12x 7.89); size(0.691)
Time: 310336.672; State:  4; ID:  2; absPos( 8.770, 31.360); absVel(23.250, 12.875); Ellipse(10.27x 7.96); size(0.711)
Time: 310336.680; State:  4; ID:  2; absPos( 9.030, 31.470); absVel(31.625, 13.500); Ellipse(10.24x 7.97); size(0.719)
Time: 310336.688; State:  4; ID:  2; absPos( 9.370, 31.570); absVel(42.875, 13.250); Ellipse(10.21x 7.97); size(0.730)
Time: 310336.696; State:  4; ID:  2; absPos( 9.780, 31.680); absVel(51.250, 13.750); Ellipse(10.15x 7.83); size(0.734)
Time: 310336.704; State:  4; ID:  2; absPos(10.300, 31.800); absVel(64.625, 13.750); Ellipse( 9.83x 8.07); size(0.730)
Time: 310336.712; State:  4; ID:  2; absPos(11.100, 31.940); absVel(82.625, 12.750); Ellipse( 9.64x 8.23); size(0.730)
Time: 310336.720; State:  4; ID:  2; absPos(11.880, 32.060); absVel(98.125, 14.750); Ellipse( 9.45x 8.21); size(0.711)
Time: 310336.728; State:  4; ID:  2; absPos(12.810, 32.170); absVel(115.875, 13.875); Ellipse( 9.32x 8.36); size(0.711)
Time: 310336.736; State:  4; ID:  2; absPos(13.860, 32.270); absVel(131.375, 12.250); Ellipse( 9.32x 8.39); size(0.703)
Time: 310336.744; State:  4; ID:  2; absPos(15.000, 32.360); absVel(142.750, 11.125); Ellipse( 9.30x 8.33); size(0.684)
Time: 310336.752; State:  4; ID:  2; absPos(16.230, 32.440); absVel(153.500, 10.750); Ellipse( 9.32x 8.33); size(0.672)
Time: 310336.760; State:  4; ID:  2; absPos(17.520, 32.520); absVel(161.250,  9.500); Ellipse( 9.29x 8.31); size(0.652)
Time: 310336.768; State:  4; ID:  2; absPos(18.880, 32.590); absVel(169.125,  8.500); Ellipse( 9.16x 8.30); size(0.613)
Time: 310336.776; State:  4; ID:  2; absPos(20.240, 32.670); absVel(170.625, 10.125); Ellipse( 9.04x 8.21); size(0.574)
Time: 310336.784; State:  4; ID:  3; absPos(22.120, 32.780); absVel(177.250, 10.375); Ellipse( 9.08x 8.24); size(0.539)
Time: 310336.792; State:  4; ID:  3; absPos(23.590, 32.870); absVel(183.750, 11.375); Ellipse( 8.98x 8.24); size(0.504)
Time: 310336.800; State:  4; ID:  3; absPos(24.550, 32.920); absVel(179.500,  9.750); Ellipse( 8.90x 8.22); size(0.469)
Time: 310336.808; State:  4; ID:  3; absPos(25.970, 32.970); absVel(177.125,  5.250); Ellipse( 9.05x 8.22); size(0.438)
Time: 310336.816; State:  4; ID:  3; absPos(27.380, 32.970); absVel(176.125,  0.375); Ellipse( 9.26x 8.25); size(0.402)
Time: 310336.824; State:  4; ID:  3; absPos(28.770, 32.940); absVel(174.625, -3.125); Ellipse( 9.19x 8.24); size(0.371)
Time: 310336.832; State:  4; ID:  3; absPos(30.110, 32.880); absVel(166.875, -7.250); Ellipse( 9.24x 8.24); size(0.352)
Time: 310336.840; State:  4; ID:  3; absPos(31.360, 32.800); absVel(156.125, -10.625); Ellipse( 9.03x 8.33); size(0.324)
Time: 310336.848; State:  4; ID:  3; absPos(32.540, 32.700); absVel(147.500, -12.250); Ellipse( 9.02x 8.34); size(0.316)
Time: 310336.856; State:  4; ID:  3; absPos(33.230, 32.610); absVel(139.875, -14.625); Ellipse( 8.88x 8.31); size(0.305)
Time: 310336.864; State:  4; ID:  3; absPos(34.280, 32.480); absVel(131.250, -16.250); Ellipse( 8.95x 8.35); size(0.297)
Time: 310336.872; State:  4; ID:  3; absPos(35.210, 32.330); absVel(116.625, -18.625); Ellipse( 8.97x 8.43); size(0.297)
Time: 310336.880; State:  4; ID:  3; absPos(36.060, 32.190); absVel(106.375, -16.875); Ellipse( 8.95x 8.40); size(0.289)
Time: 310336.888; State:  4; ID:  3; absPos(36.810, 32.060); absVel(93.750, -16.750); Ellipse( 9.01x 8.33); size(0.293)
Time: 310336.896; State:  4; ID:  3; absPos(37.470, 31.940); absVel(82.750, -14.875); Ellipse( 9.01x 8.16); size(0.285)
Time: 310336.904; State:  4; ID:  3; absPos(37.770, 31.880); absVel(70.625, -13.375); Ellipse( 8.89x 8.06); size(0.293)
Time: 310336.912; State:  4; ID:  3; absPos(38.270, 31.750); absVel(62.250, -15.250); Ellipse( 9.20x 7.90); size(0.301)
Time: 310336.920; State:  4; ID:  3; absPos(38.640, 31.660); absVel(46.250, -11.500); Ellipse( 8.97x 7.98); size(0.312)
Time: 310336.928; State:  4; ID:  3; absPos(38.930, 31.570); absVel(36.375, -10.875); Ellipse( 8.96x 7.98); size(0.328)
Time: 310336.936; State:  4; ID:  3; absPos(39.150, 31.490); absVel(26.500, -10.375); Ellipse( 9.16x 7.79); size(0.340)
Time: 310336.944; State:  4; ID:  3; absPos(39.280, 31.400); absVel(16.375, -10.750); Ellipse( 9.45x 7.66); size(0.355)
Time: 310336.952; State:  4; ID:  3; absPos(39.390, 31.340); absVel(13.875, -8.500); Ellipse( 9.24x 7.83); size(0.359)
Time: 310336.960; State:  4; ID:  3; absPos(39.450, 31.280); absVel( 7.375, -6.750); Ellipse( 9.16x 7.87); size(0.363)
Time: 310336.968; State:  4; ID:  3; absPos(39.500, 31.240); absVel( 5.750, -5.625); Ellipse( 9.11x 7.96); size(0.371)
Time: 310336.976; State:  4; ID:  3; absPos(39.520, 31.200); absVel( 2.875, -4.125); Ellipse( 9.09x 7.94); size(0.375)
